49	18	-382.54	-31.558
-382.54	-375.52	-335.46	-320.57	-307.4	-300.47	-297.92	-296.78	-294.64	-286.59	-282.07	-276.74	-263.27	-261.72	-260.41	-255.48	-255.45	-253.8	-251.86	-250.94	-239.39	-237.12	-235.74	-216.52	-213.86	-211.71	-210.78	-210.49	-208.95	-200.13	-198.95	-191.09	-176.03	-175.85	-173.7	-168.39	-167.22	-164.19	-163.26	-161.75	-128.12	-126.73	-115.5	-105.92	-100.77	-82.924	-80.726	-48.97	-31.558
66.929	70.866	74.803	78.74	82.677	86.614	90.551	94.488	98.425	102.36	106.3	110.24	114.17	118.11	122.05	125.98	129.92	133.86
0.028024	0.025409	0.026129	0.027937	0.025496	0.026389	0.022233	0.025375	0.027636	0.011494	0.022828	0.023348	0.022289	0.020853	0.024848	0.023231	0.019079	0.023208	0.017293	0.021607	0.020379	0.021419	0.020865	0.020394	0.020352	0.021844	0.022417	0.020541	0.019972	0.022119	0.021656	0.021584	0.021908	0.022606	0.022986	0.021566	0.026472	0.021324	0.022643	0.023193	0.02322	0.020669	0.022089	0.021622	0.022685	0.024893	0.021388	0.022059	0.022183
0.088007	0.082671	0.083537	0.085305	0.079304	0.080978	0.075061	0.073588	0.082957	0.049192	0.081098	0.081768	0.065712	0.065024	0.071961	0.071355	0.064581	0.074837	0.048857	0.061798	0.065734	0.064076	0.054476	0.063221	0.053398	0.049667	0.053948	0.055828	0.052169	0.058102	0.055364	0.04923	0.04316	0.043088	0.049645	0.04821	0.046891	0.042934	0.043761	0.041342	0.034421	0.034142	0.029904	0.026482	0.02247	0.020765	0.020315	0.011876	0.0085935
0.064262	0.059644	0.067735	0.065481	0.063564	0.062933	0.054646	0.053708	0.064811	0.033486	0.066131	0.068897	0.04605	0.050011	0.061174	0.058611	0.049869	0.056681	0.028178	0.045104	0.052068	0.047667	0.037705	0.049804	0.037201	0.035648	0.042609	0.041725	0.038185	0.049119	0.042738	0.036384	0.028945	0.035135	0.038318	0.039535	0.03811	0.034971	0.033565	0.033083	0.028148	0.028268	0.021962	0.022255	0.014327	0.014219	0.015148	0.0090159	0.0073413
0.048632	0.042799	0.054557	0.050185	0.048562	0.04924	0.039874	0.040075	0.051223	0.022593	0.052421	0.056631	0.032406	0.038013	0.050207	0.046332	0.038347	0.045272	0.019686	0.034511	0.039495	0.036929	0.028046	0.039347	0.025831	0.02638	0.033745	0.032292	0.028748	0.038976	0.034107	0.027757	0.020296	0.028904	0.031157	0.031068	0.032587	0.028947	0.026418	0.025487	0.021707	0.023703	0.016269	0.01631	0.0095917	0.010001	0.011031	0.0052946	0.0060106
0.042405	0.03711	0.049921	0.040803	0.042761	0.044606	0.034489	0.034352	0.04532	0.018167	0.046603	0.048187	0.026357	0.032292	0.043357	0.040052	0.032472	0.039855	0.01486	0.028342	0.035422	0.031371	0.023035	0.034716	0.021291	0.020198	0.030317	0.028372	0.024565	0.033532	0.028579	0.022612	0.016708	0.023523	0.028375	0.027523	0.031361	0.026342	0.023411	0.021387	0.019109	0.023226	0.014191	0.01435	0.0087769	0.01178	0.011492	0.0053148	0.0049727
0.040363	0.034674	0.046425	0.035891	0.040223	0.041307	0.030351	0.030957	0.039524	0.015882	0.043468	0.043488	0.023192	0.028545	0.03854	0.036642	0.03085	0.034693	0.011058	0.023651	0.031805	0.028336	0.019087	0.032401	0.018791	0.016934	0.027524	0.026439	0.022297	0.029974	0.024287	0.019312	0.014883	0.022193	0.026669	0.025871	0.030347	0.023733	0.021604	0.018445	0.016507	0.020881	0.013361	0.013158	0.0087019	0.011868	0.010744	0.0053665	0.004775
0.035333	0.02941	0.042681	0.031656	0.036339	0.039584	0.025326	0.026454	0.034397	0.013467	0.039564	0.039292	0.020412	0.025652	0.035906	0.033647	0.027879	0.029909	0.0083988	0.020785	0.029246	0.025638	0.016118	0.028705	0.015565	0.013883	0.023061	0.02374	0.018006	0.026475	0.021538	0.017096	0.011588	0.018676	0.022834	0.023585	0.027062	0.022204	0.018203	0.016058	0.013201	0.017245	0.010211	0.011599	0.0067297	0.0095993	0.0089114	0.0046809	0.004047
0.032746	0.026468	0.040375	0.028985	0.032721	0.036795	0.021333	0.024498	0.031247	0.010249	0.036085	0.035611	0.017143	0.022136	0.032399	0.030414	0.024476	0.027029	0.0053048	0.016051	0.026208	0.023003	0.013105	0.026133	0.012353	0.011569	0.020485	0.021585	0.01541	0.024051	0.018419	0.014381	0.0082185	0.017138	0.019321	0.021232	0.02401	0.018864	0.015228	0.013184	0.0091647	0.013241	0.0072974	0.010148	0.0047052	0.0086538	0.0076308	0.0030132	0.0036471
0.030659	0.023717	0.039023	0.027124	0.032361	0.034969	0.020198	0.02177	0.027836	0.0074566	0.034063	0.033566	0.01533	0.020818	0.030549	0.028482	0.022806	0.025592	0.0040713	0.01528	0.025723	0.021713	0.010541	0.025467	0.011324	0.008793	0.018709	0.020344	0.014308	0.023016	0.016172	0.013003	0.0059952	0.016676	0.017045	0.019827	0.02199	0.018662	0.014055	0.012128	0.0084776	0.010012	0.0065409	0.0089877	0.003386	0.0080877	0.0065824	0.002901	0.0037682
